厨房很臭。__eou__我把垃圾扔出去吧。__eou__	1	3 4	2 0
迪克，今晚喝点咖啡怎么样？__eou__咖啡？我真的不喜欢那种东西。__eou__来吧，除了香烟，你至少可以试一下。__eou__怎么了？香烟是我喜欢的东西。__eou__不是我喜欢的，迪克。__eou__	1	3 4 3 1 1	4 2 0 1 0
你的房客相处得不好吗？__eou__越来越不好了。他快让我倾家荡产了。我试过跟他聊聊，但他都一耳进一耳出。他感觉很自在，没问题。但真正让我受不了的是，昨天他裸体走进客厅，当时还有人在我旁边！那是压垮骆驼最后一根稻草。__eou__利奥，我真的觉得你在和这家伙兜圈子。我知道他曾经是你在大学里最好的朋友，但我真的认为是时候说清楚了。__eou__你说得对。今晚一切都会说清楚的，我会告诉你的。__eou__	1	2 1 3 4	0 1 0 0
你可以等一会儿吗？__eou__好吧，要多久？__eou__我不确定。但我会尽快把桌子收拾好。__eou__好的我们等着。__eou__	1	3 2 1 1	0 0 0 4
你要去参加年会吗？如果你需要我可以载你一程。__eou__谢谢。我正想请你帮个忙呢。__eou__这是我的荣幸。__eou__	1	3 4 1	0 4 4
他难道不是最好的教练吗？我觉得他很性感。哇！我觉得自己都精力充沛了，不是吗？__eou__你再说下去别怪我不客气了。__eou__怎么了？你不觉得很好玩吗！__eou__哦，真好玩！我真开心！我喜欢像猪一样大汗淋漓，浑身发臭。抱歉，我只是不喜欢这种健康的运动。__eou__哦，天，别这么想。这还没上难度呢。你只要投入就行了。就像他们说的，不劳无获。__eou__我已经累坏了。谢谢你。__eou__听着，下次买双舒服的鞋。你还会和我一起来吗？__eou__再也不会了！但是谢谢你邀请我。__eou__来吧。洗完澡你会感觉好多了。__eou__	1	2 1 2 1 3 4 3 4 3	4 2 6 2 0 0 0 0 0
我现在可以为您点菜吗？还是您还要看菜单？__eou__嗯，我想要一份半熟的牛排，但我的小女儿不喜欢牛排。她能换点别的吗？__eou__当然。蛤蜊虾意大利面怎么样。__eou__听起来不错。好的她会试试的。__eou__	1	2 2 3 4	0 0 0 4
我累坏了。__eou__好吧，我们回家吧。__eou__	1	3 4	0 0
你喜欢什么菜？__eou__我喜欢中国菜。__eou__但你是美国人？__eou__美国有很多中餐馆。__eou__	1	2 1 2 1	0 4 6 0
先生，您想看看菜单吗？__eou__想。非常感谢。__eou__点菜前您想喝点什么吗？__eou__一杯青岛啤酒。__eou__好的，先生。我马上给您上。先生，您决定要什么了吗？__eou__你能提些建议吗？__eou__	1	3 4 3 3 4 3	0 4 0 0 0 0
先生，您需要点什么？__eou__我要一包香烟。__eou__好的，先生，没问题。__eou__谢谢__eou__	1	2 3 4 1	0 0 0 4
我可以坐这吗？__eou__一定。__eou__	1	3 4	0 4
您对一切都还满意吗？__eou__很遗憾，这个牛排是招牌菜，但却不是很新鲜。__eou__很抱歉听到这个消息。因为我们每天都从市场上买牛排，一般不会听到这样的反馈。__eou__那又怎么样？牛排不新鲜，我也不高兴。__eou__对不起，先生。您想试试别的吗？当然，是记在我们的账上。__eou__不，谢谢。__eou__	1	2 1 1 1 3 4	0 1 5 1 5 1
我想买一个白色钱包作为礼物。你能给我介绍一下吗？__eou__您很幸运。我们刚到了几款不同的白色钱包。__eou__这一季一定又会流行起来。__eou__我想是的。这里有一些您会感兴趣的东西。__eou__哇！这很好。我要这个。如果她不喜欢这个钱包，她可以退货，对吗？__eou__当然。让我在登记处给您结账。如果您愿意，可以获得免费的礼品包装服务。只要把它送到客户服务部就行了。__eou__	1	2 1 1 3 2 1	0 4 4 4 4 0
这里是大华市场。有什么我可以帮您的吗？__eou__你的商店在哪里？__eou__我们在南京路，剧院旁边。__eou__可以，我马上过来。__eou__	1	2 2 1 1	0 0 0 4
